,,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
4,3.0,Martin Ødegaard,no NOR,MF,23.0,37,37,3127.0,34.7,15.0,7.0,22.0,15.0,0.0,0.0,4.0,0.0,10.0,10.0,8.1,18.1,83.0,266.0,193.0,0.43,0.2,0.63,0.43,0.63,0.29,0.23,0.52,0.29,0.52,Matches,Arsenal FC
5,4.0,Ben White,eng ENG,DF,24.0,38,36,3055.0,33.9,2.0,5.0,7.0,2.0,0.0,0.0,5.0,0.0,1.3,1.3,3.2,4.5,64.0,249.0,124.0,0.06,0.15,0.21,0.06,0.21,0.04,0.09,0.13,0.04,0.13,Matches,Arsenal FC
6,5.0,Granit Xhaka,ch SUI,MF,29.0,37,36,2993.0,33.3,7.0,7.0,14.0,7.0,0.0,0.0,4.0,0.0,4.7,4.7,5.2,9.9,42.0,196.0,175.0,0.21,0.21,0.42,0.21,0.42,0.14,0.16,0.3,0.14,0.3,Matches,Arsenal FC
7,6.0,Martinelli,br BRA,FW,21.0,36,34,2789.0,31.0,15.0,5.0,20.0,15.0,0.0,0.0,3.0,0.0,9.3,9.3,9.1,18.4,124.0,94.0,350.0,0.48,0.16,0.65,0.48,0.65,0.3,0.29,0.59,0.3,0.59,Matches,Arsenal FC
8,7.0,Thomas Partey,gh GHA,MF,29.0,33,28,2483.0,27.6,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,2.2,2.2,1.5,3.8,34.0,231.0,35.0,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,Matches,Arsenal FC
9,8.0,William Saliba,fr FRA,DF,21.0,27,27,2415.0,26.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,1.2,2.1,13.0,99.0,2.0,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08,Matches,Arsenal FC
10,9.0,Oleksandr Zinchenko,ua UKR,DF,25.0,27,26,2118.0,23.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.4,2.8,67.0,227.0,68.0,0.04,0.08,0.13,0.04,0.13,0.06,0.06,0.12,0.06,0.12,Matches,Arsenal FC
11,10.0,Gabriel Jesus,br BRA,FW,25.0,26,24,2064.0,22.9,11.0,6.0,17.0,10.0,1.0,1.0,6.0,0.0,14.0,13.2,3.9,17.1,44.0,64.0,194.0,0.48,0.26,0.74,0.44,0.7,0.61,0.17,0.78,0.58,0.75,Matches,Arsenal FC
12,11.0,Leandro Trossard,be BEL,FW,27.0,20,10,931.0,10.3,1.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,4.7,6.6,36.0,57.0,102.0,0.1,0.97,1.06,0.1,1.06,0.18,0.46,0.64,0.18,0.64,Matches,Arsenal FC
13,12.0,Eddie Nketiah,eng ENG,FW,23.0,30,9,1089.0,12.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,8.2,8.2,1.3,9.5,32.0,15.0,82.0,0.33,0.08,0.41,0.33,0.41,0.68,0.11,0.78,0.68,0.78,Matches,Arsenal FC
14,13.0,Jorginho,it ITA,MF,30.0,14,9,855.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,15.0,99.0,8.0,0.0,0.11,0.11,0.0,0.11,0.02,0.02,0.04,0.02,0.04,Matches,Arsenal FC
15,14.0,Kieran Tierney,sct SCO,DF,25.0,27,6,795.0,8.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,25.0,36.0,31.0,0.0,0.11,0.11,0.0,0.11,0.04,0.04,0.08,0.04,0.08,Matches,Arsenal FC
16,15.0,Takehiro Tomiyasu,jp JPN,DF,23.0,21,6,663.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,14.0,51.0,28.0,0.0,0.14,0.14,0.0,0.14,0.03,0.08,0.11,0.03,0.11,Matches,Arsenal FC
17,16.0,Rob Holding,eng ENG,DF,26.0,14,6,566.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,24.0,2.0,0.16,0.0,0.16,0.16,0.16,0.05,0.0,0.05,0.05,0.05,Matches,Arsenal FC
18,17.0,Jakub Kiwior,pl POL,DF,22.0,7,5,427.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,6.0,0.21,0.0,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03,Matches,Arsenal FC
19,18.0,Fabio Vieira,pt POR,"MF,FW",22.0,22,3,514.0,5.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,2.5,3.3,8.0,35.0,40.0,0.18,0.35,0.53,0.18,0.53,0.15,0.44,0.58,0.15,0.58,Matches,Arsenal FC
20,19.0,Albert Sambi Lokonga,be BEL,MF,22.0,6,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal FC
21,20.0,Mohamed Elneny,eg EGY,MF,30.0,5,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal FC
22,21.0,Reiss Nelson,eng ENG,FW,22.0,11,0,212.0,2.4,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.1,1.1,1.4,2.5,19.0,6.0,34.0,1.27,0.85,2.12,1.27,2.12,0.46,0.58,1.04,0.46,1.04,Matches,Arsenal FC
23,22.0,Emile Smith Rowe,eng ENG,"MF,FW",22.0,12,0,172.0,1.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,2.0,7.0,11.0,0.0,1.05,1.05,0.0,1.05,0.14,0.36,0.5,0.14,0.5,Matches,Arsenal FC
24,23.0,Cédric Soares,pt POR,DF,30.0,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal FC
1,0.0,Harry Kane,eng ENG,FW,29.0,38,38,3405.0,37.8,30.0,3.0,33.0,25.0,5.0,6.0,6.0,0.0,21.5,16.7,7.0,23.7,60.0,180.0,193.0,0.79,0.08,0.87,0.66,0.74,0.57,0.18,0.75,0.44,0.63,Matches,Tottenham Hotspur
2,1.0,Pierre Højbjerg,dk DEN,MF,26.0,35,35,3131.0,34.8,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,3.1,5.1,46.0,235.0,66.0,0.11,0.14,0.26,0.11,0.26,0.06,0.09,0.15,0.06,0.15,Matches,Tottenham Hotspur
3,2.0,Son Heung-min,kr KOR,"MF,FW",30.0,36,33,2888.0,32.1,10.0,6.0,16.0,10.0,0.0,0.0,2.0,0.0,10.1,10.1,6.5,16.6,82.0,79.0,196.0,0.31,0.19,0.5,0.31,0.5,0.31,0.2,0.52,0.31,0.52,Matches,Tottenham Hotspur
4,3.0,Eric Dier,eng ENG,DF,28.0,33,31,2818.0,31.3,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,1.2,2.8,9.0,87.0,14.0,0.06,0.03,0.1,0.06,0.1,0.05,0.04,0.09,0.05,0.09,Matches,Tottenham Hotspur
5,4.0,Cristian Romero,ar ARG,DF,24.0,27,26,2364.0,26.3,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,1.5,1.5,1.2,2.6,19.0,92.0,9.0,0.0,0.04,0.04,0.0,0.04,0.06,0.05,0.1,0.06,0.1,Matches,Tottenham Hotspur
6,5.0,Ben Davies,wls WAL,DF,29.0,31,26,2288.0,25.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,2.5,3.5,39.0,107.0,69.0,0.08,0.08,0.16,0.08,0.16,0.04,0.1,0.14,0.04,0.14,Matches,Tottenham Hotspur
7,6.0,Hugo Lloris,fr FRA,GK,35.0,25,25,2205.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham Hotspur
8,7.0,Clément Lenglet,fr FRA,DF,27.0,26,24,2019.0,22.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.6,1.6,33.0,85.0,7.0,0.0,0.09,0.09,0.0,0.09,0.04,0.03,0.07,0.04,0.07,Matches,Tottenham Hotspur
9,8.0,Ivan Perišić,hr CRO,"DF,MF",33.0,34,23,2108.0,23.4,1.0,8.0,9.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,6.1,8.8,87.0,61.0,181.0,0.04,0.34,0.38,0.04,0.38,0.11,0.26,0.37,0.11,0.37,Matches,Tottenham Hotspur
10,9.0,Dejan Kulusevski,se SWE,"MF,FW",22.0,30,23,2067.0,23.0,2.0,7.0,9.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,4.7,7.2,87.0,67.0,195.0,0.09,0.3,0.39,0.09,0.39,0.11,0.2,0.31,0.11,0.31,Matches,Tottenham Hotspur
11,10.0,Emerson,br BRA,DF,23.0,26,20,1735.0,19.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.7,1.7,0.6,2.3,47.0,80.0,103.0,0.1,0.05,0.16,0.1,0.16,0.09,0.03,0.12,0.09,0.12,Matches,Tottenham Hotspur
12,11.0,Oliver Skipp,eng ENG,MF,21.0,23,18,1491.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,0.6,0.9,14.0,56.0,25.0,0.06,0.0,0.06,0.06,0.06,0.02,0.04,0.05,0.02,0.05,Matches,Tottenham Hotspur
13,12.0,Rodrigo Bentancur,uy URU,MF,25.0,18,17,1500.0,16.7,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,2.2,2.2,0.8,3.1,26.0,76.0,19.0,0.3,0.12,0.42,0.3,0.42,0.13,0.05,0.18,0.13,0.18,Matches,Tottenham Hotspur
14,13.0,Fraser Forster,eng ENG,GK,34.0,14,13,1215.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham Hotspur
15,14.0,Pedro Porro,es ESP,"DF,MF",22.0,15,13,1131.0,12.6,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,3.0,4.8,34.0,39.0,95.0,0.24,0.24,0.48,0.24,0.48,0.15,0.24,0.38,0.15,0.38,Matches,Tottenham Hotspur
16,15.0,Richarlison,br BRA,"MF,FW",25.0,27,12,1010.0,11.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.3,3.3,2.2,5.5,33.0,28.0,75.0,0.09,0.27,0.36,0.09,0.36,0.29,0.2,0.49,0.29,0.49,Matches,Tottenham Hotspur
17,16.0,Yves Bissouma,ml MLI,MF,25.0,23,10,1010.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.5,0.7,14.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches,Tottenham Hotspur
18,17.0,Ryan Sessegnon,eng ENG,DF,22.0,17,9,813.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,1.1,2.7,24.0,22.0,64.0,0.22,0.0,0.22,0.22,0.22,0.18,0.12,0.3,0.18,0.3,Matches,Tottenham Hotspur
19,18.0,Davinson Sánchez,co COL,DF,26.0,18,8,858.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.0,5.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,Tottenham Hotspur
20,19.0,Matt Doherty,ie IRL,"DF,MF",30.0,12,7,667.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,16.0,20.0,57.0,0.13,0.0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,Matches,Tottenham Hotspur
21,20.0,Pape Matar Sarr,sn SEN,"MF,FW",19.0,11,2,218.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,1.0,13.0,0.0,0.0,0.41,0.41,0.0,0.41,0.03,0.14,0.17,0.03,0.17,Matches,Tottenham Hotspur
22,21.0,Bryan,es ESP,"MF,FW",21.0,4,2,148.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,5.0,15.0,0.0,0.61,0.61,0.0,0.61,0.06,0.11,0.17,0.06,0.17,Matches,Tottenham Hotspur
23,22.0,Japhet Tanganga,eng ENG,DF,23.0,4,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham Hotspur
24,23.0,Arnaut Danjuma,nl NED,"FW,MF",25.0,9,1,169.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,5.0,2.0,19.0,0.53,0.0,0.53,0.53,0.53,0.41,0.02,0.43,0.41,0.43,Matches,Tottenham Hotspur
25,24.0,Lucas Moura,br BRA,"MF,DF",29.0,15,0,153.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3,0.9,4.0,13.0,15.0,0.59,0.0,0.59,0.59,0.59,0.32,0.2,0.52,0.32,0.52,Matches,Tottenham Hotspur
26,25.0,Matthew Craig,sct SCO,MF,19.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham Hotspur
27,26.0,Djed Spence,eng ENG,"FW,DF",21.0,4,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83,Matches,Tottenham Hotspur
1,0.0,Kai Havertz,de GER,"FW,MF",23.0,35,30,2569.0,28.5,7.0,1.0,8.0,6.0,1.0,1.0,5.0,0.0,11.6,10.8,3.7,14.6,59.0,89.0,218.0,0.25,0.04,0.28,0.21,0.25,0.41,0.13,0.54,0.38,0.51,Matches,Chelsea FC
2,1.0,Kepa Arrizabalaga,es ESP,GK,27.0,29,29,2565.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea FC
3,2.0,Thiago Silva,br BRA,DF,37.0,27,26,2352.0,26.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5,1.5,0.5,2.0,8.0,104.0,2.0,0.0,0.08,0.08,0.0,0.08,0.06,0.02,0.08,0.06,0.08,Matches,Chelsea FC
4,3.0,Raheem Sterling,eng ENG,"FW,MF",27.0,28,23,1891.0,21.0,6.0,3.0,9.0,6.0,0.0,0.0,4.0,0.0,6.2,6.2,4.6,10.8,81.0,59.0,186.0,0.29,0.14,0.43,0.29,0.43,0.29,0.22,0.51,0.29,0.51,Matches,Chelsea FC
5,4.0,Marc Cucurella,es ESP,DF,24.0,24,21,1671.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.6,1.0,30.0,73.0,65.0,0.0,0.11,0.11,0.0,0.11,0.02,0.03,0.06,0.02,0.06,Matches,Chelsea FC
6,5.0,Kalidou Koulibaly,sn SEN,DF,31.0,23,20,1800.0,20.0,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.9,0.9,0.4,1.4,10.0,81.0,4.0,0.1,0.05,0.15,0.1,0.15,0.05,0.02,0.07,0.05,0.07,Matches,Chelsea FC
7,6.0,Mason Mount,eng ENG,"MF,FW",23.0,24,20,1648.0,18.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,5.0,48.0,98.0,114.0,0.16,0.11,0.27,0.16,0.27,0.11,0.16,0.27,0.11,0.27,Matches,Chelsea FC
8,7.0,Ruben Loftus-Cheek,eng ENG,"MF,DF",26.0,25,19,1536.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.5,2.4,56.0,90.0,86.0,0.0,0.06,0.06,0.0,0.06,0.05,0.09,0.14,0.05,0.14,Matches,Chelsea FC
9,8.0,Conor Gallagher,eng ENG,MF,22.0,35,18,1621.0,18.0,3.0,1.0,4.0,3.0,0.0,0.0,11.0,1.0,2.5,2.5,2.3,4.7,40.0,105.0,104.0,0.17,0.06,0.22,0.17,0.22,0.14,0.13,0.26,0.14,0.26,Matches,Chelsea FC
10,9.0,Trevoh Chalobah,eng ENG,DF,23.0,25,18,1608.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.2,17.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06,Matches,Chelsea FC
11,10.0,Enzo Fernández,ar ARG,MF,21.0,18,18,1547.0,17.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,2.4,3.2,22.0,168.0,18.0,0.0,0.12,0.12,0.0,0.12,0.05,0.14,0.19,0.05,0.19,Matches,Chelsea FC
12,11.0,Mateo Kovačić,hr CRO,MF,28.0,27,17,1707.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,2.1,3.9,37.0,153.0,30.0,0.05,0.11,0.16,0.05,0.16,0.09,0.11,0.2,0.09,0.2,Matches,Chelsea FC
13,12.0,César Azpilicueta,es ESP,DF,32.0,25,16,1527.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.1,1.5,23.0,71.0,81.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,Chelsea FC
14,13.0,Ben Chilwell,eng ENG,"DF,MF",25.0,23,15,1408.0,15.6,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.2,3.7,43.0,41.0,131.0,0.13,0.13,0.26,0.13,0.26,0.09,0.14,0.23,0.09,0.23,Matches,Chelsea FC
15,14.0,Jorginho,it ITA,MF,30.0,18,15,1279.0,14.2,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,1.7,0.1,0.4,0.5,13.0,80.0,10.0,0.14,0.0,0.14,0.0,0.0,0.12,0.03,0.14,0.01,0.03,Matches,Chelsea FC
16,15.0,Reece James,eng ENG,"DF,MF",22.0,16,14,1244.0,13.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,4.0,52.0,90.0,115.0,0.07,0.07,0.14,0.07,0.14,0.07,0.22,0.29,0.07,0.29,Matches,Chelsea FC
17,16.0,Wesley Fofana,fr FRA,DF,21.0,15,12,1183.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,29.0,43.0,12.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.06,0.05,0.06,Matches,Chelsea FC
18,17.0,João Félix,pt POR,"FW,MF",22.0,16,11,941.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,Matches,Chelsea FC
19,18.0,Benoît Badiashile,fr FRA,DF,21.0,11,10,905.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.5,1.6,11.0,56.0,2.0,0.1,0.0,0.1,0.1,0.1,0.12,0.05,0.16,0.12,0.16,Matches,Chelsea FC
20,19.0,Edouard Mendy,sn SEN,GK,30.0,10,9,855.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea FC
21,20.0,Christian Pulisic,us USA,"FW,DF",23.0,24,8,821.0,9.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,35.0,23.0,76.0,0.11,0.11,0.22,0.11,0.22,0.19,0.07,0.26,0.19,0.26,Matches,Chelsea FC
22,21.0,Lewis Hall,eng ENG,DF,17.0,9,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.3,3.1,19.0,25.0,41.0,0.0,0.0,0.0,0.0,0.0,0.12,0.31,0.43,0.12,0.43,Matches,Chelsea FC
23,22.0,Mykhailo Mudryk,ua UKR,"FW,MF",21.0,15,7,657.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.9,1.9,0.9,2.8,25.0,20.0,43.0,0.0,0.27,0.27,0.0,0.27,0.25,0.13,0.38,0.25,0.38,Matches,Chelsea FC
24,23.0,Noni Madueke,eng ENG,FW,20.0,12,7,643.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.5,48.0,36.0,100.0,0.14,0.0,0.14,0.14,0.14,0.13,0.07,0.2,0.13,0.2,Matches,Chelsea FC
25,24.0,Hakim Ziyech,ma MAR,"FW,MF",29.0,18,6,661.0,7.3,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,2.2,2.8,20.0,42.0,69.0,0.0,0.41,0.41,0.0,0.41,0.08,0.3,0.38,0.08,0.38,Matches,Chelsea FC
26,25.0,N'Golo Kanté,fr FRA,MF,31.0,7,6,518.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.9,2.2,19.0,34.0,36.0,0.0,0.17,0.17,0.0,0.17,0.05,0.32,0.38,0.05,0.38,Matches,Chelsea FC
27,26.0,Pierre-Emerick Aubameyang,ga GAB,FW,33.0,15,5,554.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,9.0,3.0,29.0,0.16,0.0,0.16,0.16,0.16,0.24,0.07,0.3,0.24,0.3,Matches,Chelsea FC
28,27.0,Denis Zakaria,ch SUI,MF,25.0,7,5,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Chelsea FC
29,28.0,Carney Chukwuemeka,eng ENG,"MF,FW",18.0,14,2,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,21.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.25,0.09,0.25,Matches,Chelsea FC
30,29.0,Armando Broja,al ALB,FW,20.0,12,2,294.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,8.0,4.0,17.0,0.31,0.0,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,Matches,Chelsea FC
